BOWENFELS,2790
KIAMA DOWNS,2533
BROKEN HILL,2880
LIGHTNING RIDGE,2834
YASS,2582
CANOWINDRA,2804
MCDOUGALLS HILL,2330
BOMBOWLEE,2720
JUNEE,2663
HUNTERS HILL,2110
BUGALDIE,2357
NORTH BOURKE,2840
COONAMBLE,2829
ARMIDALE,2350
NARRABRI,2390
GREENWICH,2065
INVERELL,2360
GUNNEDAH,2380
NORTH SYDNEY,2060
TOCUMWAL,2714
MOREE,2400
NEWNES,2790
CULCAIRN,2660
CASINO,2470
LOWER CREEK,2440
URALLA,2358
KIAMA,2533
PORTERS RETREAT,2787
MACKSVILLE,2447
YOUNG,2594
MUSWELLBROOK,2333
MOAMA,2731
LONGUEVILLE,2066
LITHGOW,2790
COWRA,2794
MOSMAN,2088
DUNGOG,2420
BURWOOD,2134
CROYDON,2132
GUYRA,2365
PANGEE,2825
YOOGALI,2680
HANWOOD,2680
SCONE,2337
DENILIQUIN,2710
BARREN GROUNDS,2577
COOMEALLA,2717
COOTAMUNDRA,2590
BRONTE,2024
BLAYNEY,2799
DORRIGO,2453
BLACKMANS FLAT,2790
EVANS HEAD,2473
COLEAMBALLY,2707
BULGA,2330
STRATHFIELD,2135
TEMORA,2666
NEUTRAL BAY,2089
MCMAHONS POINT,2060
BOGGABRI,2382
MILSONS POINT,2061
FORBES,2871
SINGLETON,2330
ERIGOLIA,2669
WEILMORINGLE,2839
COROWA,2646
BONDI JUNCTION,2022
LANE COVE,2066
MOOMBOOLDOOL,2665
MOUNT THORLEY,2330
MATHOURA,2710
HOMEBUSH,2140
GRIFFITH,2680
NAMBUCCA HEADS,2448
JENOLAN,2790
WHITTON,2705
CATTLE CREEK,2339
WEST WYALONG,2671
CABRAMURRA,2630
WYALONG,2671
LEETON,2705
LANE COVE NORTH,2066
CUMBORAH,2832
BENDOLBA,2420
CAMMERAY,2062
KIRRIBILLI,2061
LANE COVE WEST,2066
WAVERLEY,2024
NORTH BONDI,2026
PORTLAND,2847
JERILDERIE,2716
GERRINGONG,2534
PATERSON,2421
GERROA,2534
WOOLWICH,2110
MURRUMBURRAH,2587
BURRINJUCK,2582
MOLONG,2866
MUNGINDI,2406
MURRAY DOWNS,2734
MOULAMEIN,2733
CLARENCE TOWN,2321
EUSTON,2737
BARHAM,2732
RAVENSWOOD,2824
TABBITA,2652
TUMUT,2720
ST LEONARDS,2065
BAROOGA,3644
WOLGAN VALLEY,2790
MATONG,2652
SPEEWA,2735
WARREN,2824
GLEN INNES,2370
NARRANDERA,2700
HARDEN,2587
CULLEN BULLEN,2790
GOL GOL,2738
HOLBROOK,2644
BONDI BEACH,2026
TALBINGO,2720
BURONGA,2739
FOXGROUND,2534
HOWLONG,2643
BIGGA,2583
RIVERVIEW,2066
WALCHA,2354
ECHUCA,3564
NYNGAN,2825
COONABARABRAN,2357
BONDI,2026
WALGETT,2832
QUEENS PARK,2022
WENTWORTH,2648
PARKES,2870
DOONBAH,2473
GOWRIE,2330
GONN,2732
SOUTH GUNDAGAI,2722
SCOTTS HEAD,2447
SINGLETON MILITARY AREA,2331
GRENFELL,2810
BEN BULLEN,2790
THARBOGANG,2680
NORTHWOOD,2066
BILLIMARI,2804
BOMBO,2533
MYALL PARK,2681
